imdbGenre,Definition,Note,Category,Example1,Example2,Example3
Action,"Should contain numerous scenes where action is spectacular and usually destructive. Often includes non-stop motion, high energy physical stunts, chases, battles, and destructive crises (floods, explosions, natural disasters, fires, etc.)","If a movie contains just one action scene (even if prolonged, i.e. airplane-accident) it does not qualify.",Subjective,Die Hard (1988),The Avengers (2012) ,Wonder Woman (2019)
Adult,"Reserved for explicit works of consenting hardcore sex or sexual activity, or strong fetish material involving adults, specifically those created for the purposes of titillation or arousal. Must be used with the plot keywords of 'hardcore' and 'sex' or 'special-sexual-interest'. Documentaries about this type of material do not use the Adult genre.",,Subjective,,,
Adventure,"Should contain numerous consecutive and inter-related scenes of characters participating in hazardous or exciting experiences for a specific goal. Often include searches or expeditions for lost continents and exotic locales, characters embarking in treasure hunt or heroic journeys, travels, and quests for the unknown. Not to be confused with Action, and should only sometimes be supplied with it.",,Subjective,The Goonies (1985),The Lord of The Rings: The Fellowship of the Ring (2001),Life of Pi (2012)
Animation,"Over 75% of the title's running time should have scenes that are wholly, or part-animated. Any form of animation is acceptable, e.g., hand-drawn, computer-generated, stop-motion, etc. Puppetry does not count as animation, unless a form of animation such as stop-motion is also applied. Incidental animated sequences should be indicated with the keywords part-animated or animated-sequence instead. Although the overwhelming majority of video games are a form of animation it's okay to forgo this genre when adding them as this is implied by the title type.",,Objective,Spirited Away (2001),The Lion King (1994),"""The Simpsons"" (1987)"
Biography,"Primary focus is on the depiction of activities and personality of a real person or persons, for some or all of their lifetime. Events in their life may be reenacted, or described in a documentary style. If re-enacted, they should generally follow reasonably close to the factual record, within the limitations of dramatic necessity. A real person in a fictional setting would not qualify a production for this genre. If the focus is primarily on events, rather than a person, use History instead. ",,Objective,Judy (2019),Unbroken (2014),Erin Brockovich (2000)
Comedy,"Virtually all scenes should contain characters participating in humorous or comedic experiences. The comedy can be exclusively for the viewer, at the expense of the characters in the title, or be shared with them. Please submit qualifying keywords to better describe the humor (i.e. spoof, parody, irony, slapstick, satire, dark-comedy, comedic-scene, etc.). If the title does not conform to the 'virtually all scenes' guideline then please do not add the comedy genre; instead, submit the same keyword variations described above to signify the comedic elements of the title. The subgenre keyword ""dramedy-drama"" can also be used to categorize titles with comedic undertones that qualify for the Drama genre but not necessarily the Comedy genre.",,Subjective,Some Like it Hot (1959),When Harry Met Sally... (1989),Bridesmaids (2011)
Crime,"Whether the protagonists or antagonists are criminals this should contain numerous consecutive and inter-related scenes of characters participating, aiding, abetting, and/or planning criminal behavior or experiences usually for an illicit goal. Not to be confused with Film-Noir, and only sometimes should be supplied with it.",,Subjective,Pulp Fiction (1994),The Usual Suspects (1995),Fargo (1996)
Documentary,"	Should contain numerous consecutive scenes of real personages and not characters portrayed by actors. This does not include fake or spoof documentaries, which should instead have the fake-documentary keyword. A documentary that includes actors re-creating events should include the keyword ""reenactment"" so that those actors are not treated as ""Himself."" This genre should also be applied to all instances of stand-up comedy and concert performances",,Objective,American Factory (2019),March of the Penguins (2005),Exit Through the Gift Shop (2010)
Drama,"Should contain numerous consecutive scenes of characters portrayed to effect a serious narrative throughout the title, usually involving conflicts and emotions. This can be exaggerated upon to produce melodrama.",,Subjective,The Shawshank Redemption (1994),What's Eating Gilbert Grape (1993),Casablanca (1942)
Family,"Should be universally accepted viewing for a younger audience. e.g., aimed specifically for the education and/or entertainment of children or the entire family. Often features children or relates to them in the context of home and family.","Usually, but not always, complementary to Animation. ",Objective,Toy Story (1995),The Wizard of Oz (1939),Mary Poppins (1964)
Fantasy,"Should contain numerous consecutive scenes of characters portrayed to effect a magical and/or mystical narrative throughout the title. Usually has elements of magic, supernatural events, mythology, folklore, or exotic fantasy worlds.",not to be confused with Sci-Fi which is not usually based in magic or mysticism.,Subjective,"""Game of Thrones"" (2011)",Harry Potter and The Sorcerer's Stone (2001),"""Stranger Things"" (2016)"
